961.09	0.1295	0.16219	-0.021671	-0.19964	-0.30186	-0.33075	-0.34456	-0.33146	-0.31606	-0.3029	-0.30043	-0.30142	-0.30262	-0.093098	0.37849	0.88904	1.1692	1.2046	1.178	-2.7313	-0.7968	-0.70208	-0.47755	-0.41343	-0.34432	-0.31793	-0.29793	-0.27128	-0.24279	-0.19007	-0.13232	-0.035429	0.040685	0.13943	0.10133	-1.8408
960.64	0.12513	0.15898	-0.025693	-0.20375	-0.30517	-0.33568	-0.34869	-0.33557	-0.31971	-0.30565	-0.30413	-0.30593	-0.30742	-0.10129	0.37165	0.88247	1.1663	1.1981	1.1821	-2.7047	-0.78582	-0.69587	-0.47206	-0.40965	-0.34098	-0.31459	-0.29588	-0.27009	-0.2429	-0.19106	-0.13326	-0.036759	0.039391	0.13861	0.098295	-1.792
960.94	0.12288	0.15893	-0.028094	-0.20609	-0.30983	-0.34196	-0.35255	-0.34099	-0.32312	-0.31165	-0.30759	-0.30933	-0.31198	-0.10708	0.3657	0.87869	1.1659	1.2048	1.1817	-2.6749	-0.7729	-0.68912	-0.4658	-0.4051	-0.33695	-0.31188	-0.29316	-0.26825	-0.24238	-0.19279	-0.13322	-0.038496	0.038505	0.13813	0.09694	-1.7578
961.09	0.12285	0.16	-0.027288	-0.20766	-0.31295	-0.34509	-0.35805	-0.34567	-0.33007	-0.31508	-0.31376	-0.31452	-0.32008	-0.11404	0.35863	0.87154	1.1622	1.2046	1.1815	-2.6466	-0.75968	-0.68291	-0.45964	-0.40018	-0.33428	-0.30877	-0.29048	-0.26688	-0.24367	-0.19366	-0.13408	-0.039803	0.038062	0.13722	0.098686	-1.7432
960.94	0.1262	0.15893	-0.027293	-0.2093	-0.31379	-0.35072	-0.36129	-0.34967	-0.33538	-0.32036	-0.31826	-0.31981	-0.32595	-0.12104	0.35167	0.86816	1.1624	1.2013	1.1887	-2.6122	-0.74582	-0.67603	-0.45446	-0.39715	-0.33128	-0.30751	-0.28965	-0.26605	-0.24416	-0.19279	-0.13497	-0.039809	0.038507	0.13636	0.10003	-1.7188
960.79	0.12733	0.15895	-0.026492	-0.21013	-0.31384	-0.35238	-0.36372	-0.35051	-0.33805	-0.32476	-0.32276	-0.3251	-0.33299	-0.12921	0.34472	0.85952	1.1591	1.1979	1.1924	-2.579	-0.73236	-0.67135	-0.45145	-0.39501	-0.33045	-0.30712	-0.28926	-0.26521	-0.24464	-0.19148	-0.13499	-0.039816	0.038511	0.13506	0.10269	-1.6455
961.09	0.12617	0.15781	-0.024879	-0.21007	-0.31137	-0.35306	-0.3652	-0.35277	-0.34146	-0.32814	-0.32799	-0.33112	-0.3387	-0.13615	0.33292	0.85223	1.1553	1.1976	1.1885	-2.5422	-0.72035	-0.66631	-0.44913	-0.39444	-0.33079	-0.30616	-0.28961	-0.26513	-0.24367	-0.19052	-0.13364	-0.038054	0.038935	0.1359	0.10398	-1.6162
960.79	0.12511	0.15786	-0.023283	-0.21093	-0.30988	-0.35477	-0.36452	-0.35131	-0.34419	-0.32911	-0.32898	-0.33384	-0.34347	-0.14085	0.32719	0.84373	1.1556	1.1979	1.1889	-2.5094	-0.71009	-0.66217	-0.44753	-0.3928	-0.33046	-0.30538	-0.28795	-0.26433	-0.24286	-0.18835	-0.13236	-0.036317	0.042449	0.13815	0.10401	-1.5821
961.09	0.12507	0.15891	-0.023274	-0.21167	-0.30978	-0.35545	-0.3644	-0.35119	-0.3432	-0.32988	-0.33154	-0.33549	-0.34569	-0.14896	0.32008	0.83468	1.1518	1.1941	1.2025	-2.4749	-0.69853	-0.65627	-0.4452	-0.39047	-0.32904	-0.30267	-0.28522	-0.26205	-0.24012	-0.18516	-0.13013	-0.032806	0.04331	0.14075	0.1053	-1.5625
961.24	0.12173	0.15888	-0.025677	-0.21003	-0.30815	-0.35699	-0.36355	-0.35193	-0.34227	-0.32983	-0.33238	-0.33893	-0.35029	-0.15359	0.31185	0.83108	1.1516	1.1974	1.1988	-2.4421	-0.68615	-0.65096	-0.4412	-0.38731	-0.32506	-0.29826	-0.28211	-0.25937	-0.23609	-0.182	-0.12836	-0.030613	0.045055	0.14117	0.10528	-1.5088
960.94	0.12177	0.15893	-0.024883	-0.2109	-0.30983	-0.35869	-0.36525	-0.35362	-0.34326	-0.33167	-0.33426	-0.34166	-0.35272	-0.15829	0.30494	0.82605	1.1415	1.1943	1.1992	-2.4092	-0.67283	-0.64331	-0.43609	-0.38213	-0.32037	-0.29486	-0.27826	-0.25637	-0.2335	-0.17982	-0.12665	-0.02931	0.045505	0.14033	0.10531	-1.4795
961.09	0.12175	0.15781	-0.025683	-0.21167	-0.31216	-0.36103	-0.36678	-0.35751	-0.34671	-0.33423	-0.33777	-0.3451	-0.35616	-0.16408	0.29789	0.81718	1.1413	1.1906	1.199	-2.3752	-0.65834	-0.6349	-0.43035	-0.37633	-0.31377	-0.29046	-0.27383	-0.25325	-0.23125	-0.17845	-0.12443	-0.02843	0.048124	0.14031	0.10398	-1.4063
961.09	0.12286	0.1611	-0.026486	-0.21247	-0.31453	-0.36263	-0.36996	-0.36145	-0.34933	-0.33858	-0.34132	-0.34859	-0.36198	-0.1699	0.29321	0.81543	1.1344	1.1976	1.199	-2.3381	-0.64435	-0.62662	-0.42292	-0.37059	-0.30766	-0.2874	-0.27033	-0.2493	-0.2277	-0.17622	-0.12181	-0.025806	0.050306	0.14208	0.1053	-1.4014
960.79	0.12511	0.16334	-0.027297	-0.21174	-0.31622	-0.36354	-0.37167	-0.36709	-0.35382	-0.34305	-0.34587	-0.35395	-0.36675	-0.17694	0.28512	0.80863	1.1313	1.1944	1.2028	-2.304	-0.63144	-0.61762	-0.41606	-0.36496	-0.30164	-0.28313	-0.26646	-0.24454	-0.22421	-0.17314	-0.1179	-0.023189	0.054261	0.14698	0.10665	-1.3428
960.94	0.12841	0.16551	-0.028093	-0.2109	-0.31934	-0.36348	-0.37478	-0.3694	-0.35902	-0.34735	-0.35026	-0.36001	-0.37368	-0.18506	0.2769	0.79977	1.1311	1.1943	1.1992	-2.2666	-0.61866	-0.61011	-0.40944	-0.35872	-0.2968	-0.27959	-0.26117	-0.23878	-0.21974	-0.16863	-0.11394	-0.019686	0.05688	0.15225	0.10972	-1.2988
